affinity       score    gauss1   gauss2    repulsion hydrophobic hydrogen
-2.74542437776 -3.13245 48.02108 434.90009 1.00229 17.16027 1.04153 
-2.74542437776 -4.57551 45.86394 906.54910 4.54990 0.00000 7.21115 
-2.74542437776 -4.58830 49.45446 708.90695 4.56065 10.12192 5.42312 
-2.74542437776 -3.13634 54.99922 768.05907 5.70052 31.01157 2.34365 
-2.8140599872 -5.04353 53.45864 1053.90858 1.63114 0.00000 2.94989 
-2.91014984043 -6.74904 113.76903 1481.08181 8.93015 4.11732 9.50998 
-2.91014984043 -4.16492 42.29731 660.09223 3.00852 8.73834 3.35823 
-2.96505832798 -3.76214 60.02820 726.13705 5.97046 0.00000 6.60893 
-2.97878544987 -4.11913 54.80789 748.67528 3.38569 37.28263 0.96132 
-2.99251257176 -9.43253 112.66393 1645.48020 3.35142 11.52286 3.57822 
-3.00623969365 -5.35717 77.16599 974.24645 3.67899 26.59395 1.16111 
-3.00623969365 -5.86004 72.87585 860.10664 2.22941 29.84266 0.00000 
-3.03369393742 -5.57686 37.33972 696.24899 3.04861 8.84575 6.05705 
-3.03369393742 -4.40125 82.01407 778.37333 5.52147 0.00000 6.00302 
-3.04742105931 -3.06539 75.30026 1259.55445 2.89266 0.00000 1.65913 
-3.04742105931 -7.96960 119.45366 1670.24896 10.42289 26.00823 10.17536 
-3.04742105931 -6.57731 64.22559 797.12387 3.24358 12.95601 5.48827 
-3.04742105931 -5.78607 62.37948 820.52758 5.85573 6.61587 10.02226 
-3.0611481812 -4.87928 53.61586 770.44483 2.06526 21.21977 1.44255 
-3.0611481812 -4.47953 46.22658 612.32175 2.98088 16.39215 4.51728 
-3.0611481812 -6.41599 85.25624 1056.10370 2.96944 16.05277 0.42024 
-3.10232954687 2.62089 53.73129 482.92587 11.38424 0.00000 3.77169 
-3.10232954687 -4.83384 55.90695 739.27259 1.87906 9.89819 0.68522 
-3.11605666876 -5.42278 68.99836 836.89723 2.22412 14.32435 0.56603 
-3.12978379065 -5.17710 68.41621 764.84101 6.01421 19.29347 6.43796 
-3.14351091254 -6.22212 55.85288 852.50998 1.43383 13.03481 1.61883 
-3.15723803442 -5.59910 53.12915 908.27001 3.28664 10.23216 5.22628 
-3.15723803442 -4.79431 68.82732 883.76536 6.53001 7.67505 7.74304 
-3.15723803442 -4.27261 54.53971 671.87513 3.59408 3.31924 3.22470 
-3.15723803442 -1.61004 56.02362 791.18435 8.91421 32.49150 3.60433 
-3.15723803442 -8.18828 110.06244 1589.42377 7.97642 0.00000 10.43612 
-3.15723803442 -4.52656 81.62619 776.44733 5.22268 0.00000 5.88757 
-3.15723803442 -3.56674 41.53445 554.87314 0.70777 3.75647 0.00344 
-3.17096515631 -7.84018 112.76958 1581.82585 8.22041 22.97447 9.65480 
-3.21214652198 -2.56735 59.59756 848.03672 10.03836 0.66943 8.15026 
-3.22587364387 -2.86726 51.94168 608.89915 2.84580 19.66401 0.00000 
-3.25332788765 -4.91136 78.85762 885.37259 7.39378 0.00000 7.84496 
-3.25332788765 -4.98026 71.17730 885.34849 5.03553 0.00000 6.07134 
-3.26705500953 -11.11511 187.52365 2302.65240 10.26895 49.32854 13.48008 
-3.28078213142 -5.55603 72.39984 1136.38546 6.67825 0.57984 11.25617 
-3.28078213142 -2.46722 72.81509 1163.08528 7.42596 17.20794 1.84902 
-3.34941774087 -1.88024 31.52930 281.67796 0.61819 0.00000 0.17618 
-3.34941774087 -6.21897 68.38678 900.49744 3.74008 0.00000 5.42830 
-3.34941774087 -8.64303 94.51181 1304.23819 4.26966 4.99735 6.36282 
-3.34941774087 -1.84765 27.16908 422.74014 2.21500 0.00000 1.04654 
-3.37687198464 -8.44635 88.11725 1237.86423 3.82091 6.40623 6.20068 
